NombreBeca,Institucion,Carrera,Lugar,CategoriaDeBecas,Anio_Convocatoria,Genero,EstratoSocieconomico,BecasSegunMigracion
Beca 18,Universidad Nacional San Cristóbal de Huamanga,Farmacia,Amazonas,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad de Lima,Ingeniería Mecánica,Amazonas,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Gastronomía,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Agronomía,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional del Altiplano,Odontología,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional Agraria La Molina,Marketing,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Hermilio Valdizán,Enfermería,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Privada del Norte,Odontología,Amazonas,Pregrado,2021,Masculino,No Pobre,No Migró
Beca 18,Universidad Nacional Agraria La Molina,Farmacia,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Farmacia,Amazonas,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Pontificia Universidad Católica del Perú,Nutrición,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional de Cajamarca,Enfermería,Amazonas,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Farmacia,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Peruana Cayetano Heredia,Odontología,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional del Centro del Perú,Ingeniería de Sistemas,Lima,Pregrado,2021,Femenino,No Pobre,Migró
Beca 18,Universidad Nacional de Ingeniería,Ingeniería Industrial,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Privada del Norte,Economía,Lima,Pregrado,2021,Masculino,No Pobre,Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Ingeniería de Sistemas,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional del Altiplano,Veterinaria,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Tecnológica del Perú,Turismo,Amazonas,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de Trujillo,Veterinaria,Amazonas,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de San Agustín de Arequipa,Derecho,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Trabajo Social,Lima,Pregrado,2021,Femenino,No Pobre,Migró
Beca 18,Universidad Nacional de Trujillo,Ingeniería Civil,Lima,Pregrado,2021,Femenino,No Pobre,Migró
Beca 18,Universidad Nacional Agraria La Molina,Ingeniería Industrial,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional de Trujillo,Enfermería,Amazonas,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad de Lima,Ingeniería de Minas,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Ingeniería Electrónica,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional de San Agustín de Arequipa,Agronomía,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Peruana Cayetano Heredia,Trabajo Social,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional del Altiplano,Enfermería,Amazonas,Pregrado,2021,Masculino,No Pobre,No Migró
Beca 18,Universidad Nacional del Altiplano,Ingeniería Electrónica,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional de Cajamarca,Química,Amazonas,Pregrado,2021,Masculino,Pobre Extremo,No Migró
Beca 18,Universidad Continental,Farmacia,Amazonas,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Odontología,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Continental,Turismo,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional Hermilio Valdizán,Psicología,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad de Lima,Marketing,Amazonas,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de Cajamarca,Educación,Amazonas,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Comunicaciones,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional Agraria La Molina,Ingeniería Electrónica,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de Trujillo,Arquitectura,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional de Piura,Trabajo Social,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de Piura,Economía,Amazonas,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional Agraria La Molina,Enfermería,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de Piura,Marketing,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Turismo,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Enfermería,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Agraria La Molina,Derecho,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional Agraria La Molina,Economía,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Arquitectura,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Enfermería,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional San Antonio Abad del Cusco,Veterinaria,Amazonas,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Continental,Derecho,Amazonas,Pregrado,2021,Femenino,No Pobre,No Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Veterinaria,Amazonas,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional Agraria La Molina,Odontología,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional Agraria La Molina,Marketing,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Ingeniería Electrónica,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional del Centro del Perú,Gastronomía,Amazonas,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional San Antonio Abad del Cusco,Medicina Humana,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional San Cristóbal de Huamanga,Derecho,Amazonas,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional de Cajamarca,Farmacia,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional de Trujillo,Biología,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Tecnológica del Perú,Trabajo Social,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Turismo,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Privada del Norte,Ingeniería Industrial,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Ingeniería Industrial,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Ingeniería Industrial,Amazonas,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Ricardo Palma,Derecho,Lima,Pregrado,2021,Femenino,No Pobre,Migró
Beca 18,Universidad Nacional Hermilio Valdizán,Ingeniería Industrial,Amazonas,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional de Piura,Ingeniería Industrial,Amazonas,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Trabajo Social,Amazonas,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional San Cristóbal de Huamanga,Administración,Amazonas,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Pontificia Universidad Católica del Perú,Medicina Humana,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Tecnológica del Perú,Enfermería,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional del Altiplano,Marketing,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Privada del Norte,Ingeniería Mecánica,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Continental,Comunicaciones,Amazonas,Pregrado,2021,Masculino,Pobre Extremo,No Migró
Beca 18,Universidad San Martín de Porres,Ingeniería Industrial,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad del Pacífico,Química,Amazonas,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de Ingeniería,Ingeniería Civil,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional San Cristóbal de Huamanga,Ingeniería Civil,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de Cajamarca,Administración,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional del Centro del Perú,Nutrición,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Tecnológica del Perú,Ingeniería de Sistemas,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional Hermilio Valdizán,Ingeniería Electrónica,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad César Vallejo,Contabilidad,Áncash,Pregrado,2021,Masculino,No Pobre,No Migró
Beca 18,Universidad Nacional de Piura,Administración,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Ricardo Palma,Enfermería,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Tecnológica del Perú,Gastronomía,Áncash,Pregrado,2021,Masculino,No Pobre,No Migró
Beca 18,Universidad Nacional del Altiplano,Contabilidad,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Continental,Odontología,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Peruana Cayetano Heredia,Nutrición,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de Cajamarca,Agronomía,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Pontificia Universidad Católica del Perú,Educación,Áncash,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad del Pacífico,Trabajo Social,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Ricardo Palma,Economía,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Agronomía,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de Piura,Economía,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de Piura,Arquitectura,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional de Ingeniería,Ingeniería Mecánica,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad de Lima,Administración,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Peruana Cayetano Heredia,Farmacia,Áncash,Pregrado,2021,Masculino,No Pobre,No Migró
Beca 18,Universidad Ricardo Palma,Arquitectura,Áncash,Pregrado,2021,Femenino,No Pobre,No Migró
Beca 18,Universidad Tecnológica del Perú,Arquitectura,Áncash,Pregrado,2021,Masculino,No Pobre,No Migró
Beca 18,Universidad Nacional San Antonio Abad del Cusco,Odontología,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional del Altiplano,Turismo,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de Cajamarca,Psicología,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional de Ingeniería,Agronomía,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de Cajamarca,Derecho,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional San Antonio Abad del Cusco,Medicina Humana,Lima,Pregrado,2021,Femenino,No Pobre,Migró
Beca 18,Universidad Peruana Cayetano Heredia,Economía,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Pedro Ruiz Gallo,Derecho,Áncash,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Turismo,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Pontificia Universidad Católica del Perú,Contabilidad,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad de Lima,Comunicaciones,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de San Agustín de Arequipa,Ingeniería Civil,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional San Antonio Abad del Cusco,Comunicaciones,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Peruana Cayetano Heredia,Trabajo Social,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional de Ingeniería,Administración,Áncash,Pregrado,2021,Masculino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional de Piura,Ingeniería de Sistemas,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Ingeniería Industrial,Lima,Pregrado,2021,Femenino,No Pobre,Migró
Beca 18,Universidad Nacional San Antonio Abad del Cusco,Ingeniería Civil,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional de Cajamarca,Economía,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Economía,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional del Altiplano,Agronomía,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Medicina Humana,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Contabilidad,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional del Centro del Perú,Ingeniería de Sistemas,Lima,Pregrado,2021,Masculino,No Pobre,Migró
Beca 18,Universidad Ricardo Palma,Ingeniería Electrónica,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Arquitectura,Áncash,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Continental,Educación,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional Agraria La Molina,Química,Áncash,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Turismo,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad San Martín de Porres,Economía,Áncash,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Continental,Trabajo Social,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Trabajo Social,Áncash,Pregrado,2021,Masculino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional San Antonio Abad del Cusco,Administración,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional San Cristóbal de Huamanga,Ingeniería de Sistemas,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Administración,Áncash,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Continental,Turismo,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional del Altiplano,Farmacia,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad César Vallejo,Química,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Peruana Cayetano Heredia,Administración,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Veterinaria,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Tecnológica del Perú,Química,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional del Altiplano,Farmacia,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad del Pacífico,Trabajo Social,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Privada del Norte,Biología,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Farmacia,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional Hermilio Valdizán,Contabilidad,Lima,Pregrado,2021,Masculino,No Pobre,Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Ingeniería Industrial,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Agraria La Molina,Gastronomía,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad San Martín de Porres,Derecho,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Ricardo Palma,Ingeniería Electrónica,Lima,Pregrado,2021,Masculino,No Pobre,Migró
Beca 18,Universidad Nacional Agraria La Molina,Educación,Áncash,Pregrado,2021,Masculino,No Pobre,No Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Turismo,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional San Cristóbal de Huamanga,Ingeniería Electrónica,Áncash,Pregrado,2021,Masculino,Pobre Extremo,No Migró
Beca 18,Pontificia Universidad Católica del Perú,Arquitectura,Áncash,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional de Ingeniería,Educación,Áncash,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad de Lima,Trabajo Social,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Peruana Cayetano Heredia,Trabajo Social,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Privada del Norte,Odontología,Lima,Pregrado,2021,Femenino,No Pobre,Migró
Beca 18,Universidad Ricardo Palma,Educación,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Peruana Cayetano Heredia,Educación,Áncash,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional de San Agustín de Arequipa,Turismo,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad César Vallejo,Contabilidad,Áncash,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional del Centro del Perú,Ingeniería de Minas,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Derecho,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Continental,Ingeniería Mecánica,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Derecho,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Ricardo Palma,Economía,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de Ingeniería,Marketing,Lima,Pregrado,2021,Masculino,No Pobre,Migró
Beca 18,Universidad Nacional de Ingeniería,Psicología,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional San Cristóbal de Huamanga,Biología,Áncash,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional San Cristóbal de Huamanga,Comunicaciones,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional Agraria La Molina,Química,Áncash,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Ricardo Palma,Ingeniería Ambiental,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional San Cristóbal de Huamanga,Turismo,Lima,Pregrado,2021,Femenino,No Pobre,Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Educación,Lima,Pregrado,2021,Femenino,No Pobre,Migró
Beca 18,Universidad Nacional Pedro Ruiz Gallo,Odontología,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Tecnológica del Perú,Ingeniería Ambiental,Áncash,Pregrado,2021,Femenino,No Pobre,No Migró
Beca 18,Universidad Nacional de Ingeniería,Comunicaciones,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Continental,Biología,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad César Vallejo,Educación,Apurímac,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad César Vallejo,Enfermería,Apurímac,Pregrado,2021,Femenino,No Pobre,No Migró
Beca 18,Universidad San Martín de Porres,Contabilidad,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional Hermilio Valdizán,Educación,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Veterinaria,Apurímac,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Enfermería,Apurímac,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional de Ingeniería,Ingeniería Ambiental,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Pedro Ruiz Gallo,Química,Apurímac,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de Piura,Química,Apurímac,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional Agraria La Molina,Economía,Apurímac,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad San Martín de Porres,Ingeniería Civil,Lima,Pregrado,2021,Femenino,No Pobre,Migró
Beca 18,Universidad Continental,Educación,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional Pedro Ruiz Gallo,Marketing,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Pontificia Universidad Católica del Perú,Química,Apurímac,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional de Ingeniería,Biología,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Arquitectura,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Psicología,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad de Lima,Ingeniería Industrial,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de San Agustín de Arequipa,Ingeniería de Minas,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Pontificia Universidad Católica del Perú,Ingeniería de Minas,Lima,Pregrado,2021,Masculino,No Pobre,Migró
Beca 18,Universidad Privada del Norte,Ingeniería de Sistemas,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Tecnológica del Perú,Comunicaciones,Apurímac,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Trabajo Social,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad del Pacífico,Derecho,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Continental,Ingeniería Mecánica,Apurímac,Pregrado,2021,Femenino,No Pobre,No Migró
Beca 18,Universidad Nacional San Cristóbal de Huamanga,Enfermería,Apurímac,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional de San Agustín de Arequipa,Odontología,Apurímac,Pregrado,2021,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de Piura,Marketing,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Educación,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional de Trujillo,Gastronomía,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional de Cajamarca,Educación,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional de Cajamarca,Odontología,Apurímac,Pregrado,2021,Masculino,No Pobre,No Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Ingeniería Civil,Apurímac,Pregrado,2021,Femenino,No Pobre,No Migró
